Member,Type,Section,Length_m,Total_kg,UR
552,PURLIN,200X65X15NB,7.203,34.57,0.333
553,PURLIN,200X65X15NB,7.203,34.57,0.333
554,PURLIN,200X65X15NB,7.203,34.57,0.333
555,PURLIN,200X65X15NB,7.203,34.57,0.333
556,PURLIN,200X65X15NB,7.203,34.57,0.333
557,PURLIN,200X65X15NB,7.203,34.57,0.333
558,PURLIN,200X65X15NB,7.203,34.57,0.333
559,PURLIN,200X65X15NB,7.203,34.57,0.333
560,PURLIN,200X65X15NB,7.203,34.57,0.333
561,PURLIN,200X65X15NB,7.203,34.57,0.333
562,PURLIN,200X65X15NB,7.203,34.57,0.333
563,PURLIN,200X65X15NB,7.203,34.57,0.333
564,PURLIN,200X65X15NB,7.203,34.57,0.333
565,PURLIN,200X65X15NB,7.203,34.57,0.333
566,PURLIN,200X65X15NB,7.203,34.57,0.333
567,PURLIN,200X65X15NB,7.203,34.57,0.333
568,PURLIN,200X65X15NB,7.203,34.57,0.333
569,PURLIN,200X65X15NB,7.203,34.57,0.333
570,PURLIN,200X65X15NB,7.203,34.57,0.333
571,PURLIN,200X65X15NB,7.203,34.57,0.333
572,GIRT,200X65X15NB,7.203,34.57,0.333
573,GIRT,200X65X15NB,7.203,34.57,0.333
574,GIRT,200X65X15NB,7.203,34.57,0.333
575,GIRT,200X65X15NB,7.203,34.57,0.333
576,PURLIN,200X65X15NB,7.203,34.57,0.333
577,PURLIN,200X65X15NB,7.203,34.57,0.333
578,PURLIN,200X65X15NB,7.203,34.57,0.333
579,PURLIN,200X65X15NB,7.203,34.57,0.333
580,PURLIN,200X65X15NB,7.203,34.57,0.333
581,PURLIN,200X65X15NB,7.203,34.57,0.333
582,PURLIN,200X65X15NB,7.203,34.57,0.333
583,PURLIN,200X65X15NB,7.203,34.57,0.333
584,PURLIN,200X65X15NB,7.203,34.57,0.333
585,PURLIN,200X65X15NB,7.203,34.57,0.333
586,PURLIN,200X65X15NB,7.203,34.57,0.333
587,PURLIN,200X65X15NB,7.203,34.57,0.333
588,PURLIN,200X65X15NB,7.203,34.57,0.333
589,PURLIN,200X65X15NB,7.203,34.57,0.333
590,PURLIN,200X65X15NB,7.203,34.57,0.333
591,PURLIN,200X65X15NB,7.203,34.57,0.333
592,PURLIN,200X65X15NB,7.203,34.57,0.333
593,PURLIN,200X65X15NB,7.203,34.57,0.333
594,PURLIN,200X65X15NB,7.203,34.57,0.333
595,PURLIN,200X65X15NB,7.203,34.57,0.333
596,PURLIN,200X65X15NB,7.203,34.57,0.333
597,PURLIN,200X65X15NB,7.203,34.57,0.333
598,PURLIN,200X65X15NB,7.203,34.57,0.333
599,PURLIN,200X65X15NB,7.203,34.57,0.333
600,PURLIN,200X65X15NB,7.203,34.57,0.333
