Member,Type,Section,Length_m,Total_kg,UR
166,BRACING,ISA75X75X6,21.243,144.45,0.2
167,BRACING,ISA75X75X6,21.243,144.45,0.2
168,BRACING,ISA75X75X6,21.243,144.45,0.2
169,BRACING,ISA75X75X6,21.243,144.45,0.2
170,PURLIN,200X65X15NB,7.203,34.57,0.333
171,PURLIN,200X65X15NB,7.203,34.57,0.333
172,PURLIN,200X65X15NB,7.203,34.57,0.333
173,PURLIN,200X65X15NB,7.203,34.57,0.333
174,PURLIN,200X65X15NB,7.203,34.57,0.333
175,PURLIN,200X65X15NB,7.203,34.57,0.333
176,PURLIN,200X65X15NB,7.203,34.57,0.333
177,PURLIN,200X65X15NB,7.203,34.57,0.333
178,PURLIN,200X65X15NB,7.203,34.57,0.333
179,PURLIN,200X65X15NB,7.203,34.57,0.333
180,PURLIN,200X65X15NB,7.203,34.57,0.333
181,PURLIN,200X65X15NB,7.203,34.57,0.333
182,PURLIN,200X65X15NB,7.203,34.57,0.333
183,PURLIN,200X65X15NB,7.203,34.57,0.333
184,PURLIN,200X65X15NB,7.203,34.57,0.333
185,PURLIN,200X65X15NB,7.203,34.57,0.333
186,PURLIN,200X65X15NB,7.203,34.57,0.333
187,PURLIN,200X65X15NB,7.203,34.57,0.333
188,PURLIN,200X65X15NB,7.203,34.57,0.333
189,PURLIN,200X65X15NB,7.203,34.57,0.333
190,PURLIN,200X65X15NB,7.203,34.57,0.333
191,PURLIN,200X65X15NB,7.203,34.57,0.333
192,PURLIN,200X65X15NB,7.203,34.57,0.333
193,PURLIN,200X65X15NB,7.203,34.57,0.333
194,PURLIN,200X65X15NB,7.203,34.57,0.333
195,PURLIN,200X65X15NB,7.203,34.57,0.333
196,PURLIN,200X65X15NB,7.203,34.57,0.333
197,GIRT,200X65X15NB,7.203,34.57,0.333
198,GIRT,200X65X15NB,7.203,34.57,0.333
199,JAMB,WB200,2.0,50.8,0.1
200,JAMB,WB200,2.0,50.8,0.1
201,HEADER,WB200,4.0,101.6,0.1
202,GIRT,200X65X15NB,7.203,34.57,0.333
203,GIRT,200X65X15NB,7.203,34.57,0.333
204,PURLIN,200X65X15NB,7.203,34.57,0.333
205,PURLIN,200X65X15NB,7.203,34.57,0.333
206,PURLIN,200X65X15NB,7.203,34.57,0.333
207,PURLIN,200X65X15NB,7.203,34.57,0.333
208,PURLIN,200X65X15NB,7.203,34.57,0.333
209,PURLIN,200X65X15NB,7.203,34.57,0.333
210,PURLIN,200X65X15NB,7.203,34.57,0.333
211,PURLIN,200X65X15NB,7.203,34.57,0.333
212,PURLIN,200X65X15NB,7.203,34.57,0.333
213,PURLIN,200X65X15NB,7.203,34.57,0.333
214,PURLIN,200X65X15NB,7.203,34.57,0.333
215,PURLIN,200X65X15NB,7.203,34.57,0.333
216,PURLIN,200X65X15NB,7.203,34.57,0.333
217,PURLIN,200X65X15NB,7.203,34.57,0.333
218,PURLIN,200X65X15NB,7.203,34.57,0.333
219,PURLIN,200X65X15NB,7.203,34.57,0.333
220,PURLIN,200X65X15NB,7.203,34.57,0.333
221,PURLIN,200X65X15NB,7.203,34.57,0.333
222,PURLIN,200X65X15NB,7.203,34.57,0.333
223,PURLIN,200X65X15NB,7.203,34.57,0.333
224,PURLIN,200X65X15NB,7.203,34.57,0.333
225,PURLIN,200X65X15NB,7.203,34.57,0.333
226,PURLIN,200X65X15NB,7.203,34.57,0.333
227,PURLIN,200X65X15NB,7.203,34.57,0.333
228,PURLIN,200X65X15NB,7.203,34.57,0.333
229,PURLIN,200X65X15NB,7.203,34.57,0.333
230,PURLIN,200X65X15NB,7.203,34.57,0.333
231,GIRT,200X65X15NB,7.203,34.57,0.333
232,GIRT,200X65X15NB,7.203,34.57,0.333
233,GIRT,200X65X15NB,7.203,34.57,0.333
234,GIRT,200X65X15NB,7.203,34.57,0.333
235,PURLIN,200X65X15NB,7.203,34.57,0.333
236,PURLIN,200X65X15NB,7.203,34.57,0.333
237,PURLIN,200X65X15NB,7.203,34.57,0.333
238,PURLIN,200X65X15NB,7.203,34.57,0.333
239,PURLIN,200X65X15NB,7.203,34.57,0.333
240,PURLIN,200X65X15NB,7.203,34.57,0.333
241,PURLIN,200X65X15NB,7.203,34.57,0.333
242,PURLIN,200X65X15NB,7.203,34.57,0.333
243,PURLIN,200X65X15NB,7.203,34.57,0.333
244,PURLIN,200X65X15NB,7.203,34.57,0.333
245,PURLIN,200X65X15NB,7.203,34.57,0.333
246,PURLIN,200X65X15NB,7.203,34.57,0.333
247,PURLIN,200X65X15NB,7.203,34.57,0.333
248,PURLIN,200X65X15NB,7.203,34.57,0.333
249,PURLIN,200X65X15NB,7.203,34.57,0.333
250,PURLIN,200X65X15NB,7.203,34.57,0.333
251,PURLIN,200X65X15NB,7.203,34.57,0.333
252,PURLIN,200X65X15NB,7.203,34.57,0.333
253,PURLIN,200X65X15NB,7.203,34.57,0.333
254,PURLIN,200X65X15NB,7.203,34.57,0.333
255,PURLIN,200X65X15NB,7.203,34.57,0.333
256,PURLIN,200X65X15NB,7.203,34.57,0.333
257,PURLIN,200X65X15NB,7.203,34.57,0.333
258,PURLIN,200X65X15NB,7.203,34.57,0.333
259,PURLIN,200X65X15NB,7.203,34.57,0.333
260,PURLIN,200X65X15NB,7.203,34.57,0.333
261,PURLIN,200X65X15NB,7.203,34.57,0.333
262,GIRT,200X65X15NB,7.203,34.57,0.333
263,GIRT,200X65X15NB,7.203,34.57,0.333
264,GIRT,200X65X15NB,7.203,34.57,0.333
265,GIRT,200X65X15NB,7.203,34.57,0.333
266,PURLIN,200X65X15NB,7.203,34.57,0.333
267,PURLIN,200X65X15NB,7.203,34.57,0.333
268,PURLIN,200X65X15NB,7.203,34.57,0.333
269,PURLIN,200X65X15NB,7.203,34.57,0.333
270,PURLIN,200X65X15NB,7.203,34.57,0.333
271,PURLIN,200X65X15NB,7.203,34.57,0.333
272,PURLIN,200X65X15NB,7.203,34.57,0.333
273,PURLIN,200X65X15NB,7.203,34.57,0.333
274,PURLIN,200X65X15NB,7.203,34.57,0.333
275,PURLIN,200X65X15NB,7.203,34.57,0.333
276,PURLIN,200X65X15NB,7.203,34.57,0.333
277,PURLIN,200X65X15NB,7.203,34.57,0.333
278,PURLIN,200X65X15NB,7.203,34.57,0.333
279,PURLIN,200X65X15NB,7.203,34.57,0.333
280,PURLIN,200X65X15NB,7.203,34.57,0.333
281,PURLIN,200X65X15NB,7.203,34.57,0.333
282,PURLIN,200X65X15NB,7.203,34.57,0.333
283,PURLIN,200X65X15NB,7.203,34.57,0.333
284,PURLIN,200X65X15NB,7.203,34.57,0.333
285,PURLIN,200X65X15NB,7.203,34.57,0.333
286,PURLIN,200X65X15NB,7.203,34.57,0.333
287,PURLIN,200X65X15NB,7.203,34.57,0.333
288,PURLIN,200X65X15NB,7.203,34.57,0.333
289,PURLIN,200X65X15NB,7.203,34.57,0.333
290,PURLIN,200X65X15NB,7.203,34.57,0.333
291,PURLIN,200X65X15NB,7.203,34.57,0.333
292,PURLIN,200X65X15NB,7.203,34.57,0.333
293,GIRT,200X65X15NB,7.203,34.57,0.333
294,GIRT,200X65X15NB,7.203,34.57,0.333
295,GIRT,200X65X15NB,7.203,34.57,0.333
296,GIRT,200X65X15NB,7.203,34.57,0.333
297,PURLIN,200X65X15NB,7.203,34.57,0.333
298,PURLIN,200X65X15NB,7.203,34.57,0.333
299,PURLIN,200X65X15NB,7.203,34.57,0.333
300,PURLIN,200X65X15NB,7.203,34.57,0.333
301,PURLIN,200X65X15NB,7.203,34.57,0.333
302,PURLIN,200X65X15NB,7.203,34.57,0.333
303,PURLIN,200X65X15NB,7.203,34.57,0.333
304,PURLIN,200X65X15NB,7.203,34.57,0.333
305,PURLIN,200X65X15NB,7.203,34.57,0.333
306,PURLIN,200X65X15NB,7.203,34.57,0.333
307,PURLIN,200X65X15NB,7.203,34.57,0.333
308,PURLIN,200X65X15NB,7.203,34.57,0.333
309,PURLIN,200X65X15NB,7.203,34.57,0.333
310,PURLIN,200X65X15NB,7.203,34.57,0.333
311,PURLIN,200X65X15NB,7.203,34.57,0.333
312,PURLIN,200X65X15NB,7.203,34.57,0.333
313,PURLIN,200X65X15NB,7.203,34.57,0.333
314,PURLIN,200X65X15NB,7.203,34.57,0.333
315,PURLIN,200X65X15NB,7.203,34.57,0.333
316,PURLIN,200X65X15NB,7.203,34.57,0.333
